WaDEBenUse,UniqueCount,len_WBU
"Agriculture Irrigation,Aquaculture,Fire,Livestock,Other,Recreation,Unspecified",48,7
"Agriculture Irrigation,Aquaculture,Domestic,Unspecified",48,4
"Municipal Irrigation,Recreation",48,2
"Domestic,Fire,Livestock,Other",48,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",48,10
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Public Supply,Recreation,Snow",48,7
"Agriculture Irrigation,Hydroelectric,Other,Public Supply,Unspecified",47,5
"Aquaculture,Domestic,Recreation",47,3
"Agriculture Irrigation,Aquifer Recharge,Unspecified",47,3
"Commercial/Industrial,Domestic,Public Supply,Recreation",46,4
"Aquifer Recharge,In-stream Flow,Unspecified",46,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Recreation,Unspecified",46,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Recreation,Unspecified",46,7
"Agriculture Irrigation,Aquaculture,Unspecified",46,3
"Commercial/Industrial,Fire,Public Supply",46,3
"Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation",45,7
"Agriculture Irrigation,Domestic,Fire,Livestock,Public Supply",44,5
"In-stream Flow,Other,Unspecified",44,3
"Agriculture Irrigation,Commercial/Industrial,Other,Public Supply,Unspecified",44,5
"Agriculture Irrigation,Commercial/Industrial,Fire",44,3
"Domestic,Livestock,Public Supply,Recreation",44,4
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Other",43,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Public Supply,Recreation,Unspecified",43,7
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other",43,6
"Fire,Other,Recreation",43,3
"Domestic,Fire,Livestock,Recreation",43,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage,Unspecified",43,10
"Mining,Unspecified",42,2
"Aquaculture,Reservoir Storage",42,2
"Domestic,Other,Recreation",42,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Recreation,Unspecified",42,8
"Commercial/Industrial,Fire,Unspecified",42,3
"Agriculture Irrigation,Thermoelectric Cooling",42,2
"Commercial/Industrial,Mining",42,2
"Domestic,Livestock,Other,Recreation,Unspecified",42,5
"Aquaculture,Commercial/Industrial",42,2
"Commercial/Industrial,Thermoelectric Cooling",42,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Recreation,Unspecified",41,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation,Reservoir Storage,Snow",41,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial",41,3
"Livestock,Mining",41,2
"Livestock,Other,Reservoir Storage",41,3
"Agriculture Irrigation,Municipal Irrigation,Other,Recreation",41,4
"Agriculture Irrigation,Aquaculture,Fire,Livestock,Other,Unspecified",41,6
"Agriculture Irrigation,Fire,Recreation",41,3
"Agriculture Irrigation,Domestic,Thermoelectric Cooling",41,3
"Public Supply,Recreation",41,2
"Domestic,Livestock,Other,Recreation",40,4
"Aquaculture,Fire,Livestock,Other,Recreation,Unspecified",40,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Snow,Unspecified",40,10
"Commercial/Industrial,Domestic,Hydroelectric,Unspecified",40,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Unspecified",39,6
